gross_profit_per_market_cap,stock_symbol,Sector,is_SP500,is_profitable_3yr,is_revenue_growth_3yr,analyst_rating
0.1750248682336814,MIDD,3,0,1,1,1
1.9484781922226109,RCII,3,0,0,0,0
0.07503745601411745,CSGP,3,0,0,1,1
0.45305615698800156,TTMI,2,0,1,1,1
0.009546445843273268,ARWR,8,0,0,1,1
0.219263266731298,IAC,2,0,1,1,1
0.2873601470403169,VIRT,4,0,1,0,0
0.5489774344849087,UCTT,2,0,0,1,1
0.1350968306885977,ANGI,2,0,0,0,1
0.2322016493105621,BCOR,2,0,0,1,1
1.5363244260676738,BLDR,5,0,0,1,1
0.3266693298813613,MOBL,2,0,0,0,0
0.3909054017107706,CHEF,7,0,1,1,1
0.0,KURA,8,0,0,0,1
0.0,MRNS,8,0,0,0,1
0.34050736708235974,GPRE,5,0,1,1,1
0.7619660286862227,HIBB,0,0,0,1,0
0.08643399543603607,ALGN,8,0,1,1,1
0.3698317672029249,LGIH,0,0,1,1,0
0.0,AVXL,8,0,0,0,1
0.003983727878675358,AXDX,8,0,0,1,0
0.1604254501074316,PRMW,7,0,0,1,1
0.31020446482956593,NUVA,8,0,0,1,0
0.008139959068230975,ADVM,8,0,0,0,1
0.5480137977078001,SWIR,2,0,0,1,0
0.22395604934230454,DNKN,0,0,1,1,0
1.0702083497472528,FRAN,0,0,0,1,0
0.07874152493559171,FRPT,7,0,0,1,0
0.4627743965196571,ARAY,8,0,0,0,0
0.3030994982814863,HTLD,3,0,1,0,0
0.1556473962639114,VRNS,2,0,0,1,1
0.15215308374890452,CINF,4,0,0,1,0
0.16419974239719534,DENN,0,0,1,1,1
-0.5765788293515393,GLRE,4,0,0,1,1
0.39515638873579806,RRR,0,0,0,0,1
0.44750483632158566,SINA,2,0,1,1,1
0.17797232937948682,PRAH,8,0,1,1,0
0.0,ZG,9,0,0,0,1
,GGAL,4,0,0,0,0
0.11257441987194251,FTNT,2,0,1,1,0
0.2765188314310705,CLDX,8,0,0,1,1
3.2308832850616738,MDCA,0,0,0,0,0
0.077822311173401,VCEL,8,0,0,1,1
0.41396839724361023,SRCL,3,0,0,1,0
0.3430356000524811,WTFC,4,0,1,1,1
0.8566316300231638,SGRY,8,0,0,1,1
0.4411922692639385,XPER,2,0,0,1,1
0.12881223204820588,AGEN,8,0,0,1,1
0.11732245507117364,RPD,2,0,0,1,1
0.0,GLNG,3,0,0,1,1
0.11517849885595942,PETS,7,0,1,1,1
0.11183583433937629,AMBA,2,0,0,1,1
0.45220430548705265,AMKR,2,0,1,1,0
0.0602890819820301,COUP,2,0,0,0,1
0.04362387234386952,MNKD,8,0,0,0,1
0.05931498286650936,ICPT,8,0,0,1,0
0.21507998743420662,MITK,2,0,0,1,1
0.3356068721342596,PZZA,0,0,0,1,1
0.14538893870489747,POOL,0,0,1,1,1
0.18741381745260807,MGRC,3,0,1,1,1
0.11651277463092719,FANH,4,0,1,1,0
0.45997903614648905,INFN,2,0,0,0,0
0.1289987029668512,MMSI,8,0,1,1,1
0.1726244353160174,UPLD,2,0,0,1,1
0.23891614075040893,COLM,0,0,1,1,1
0.1974786932689756,GLUU,2,0,0,1,1
0.14310707308308146,CCOI,6,0,1,1,0
0.19879194810150724,SEDG,2,0,1,0,0
0.35286851484363946,LLNW,2,0,0,1,1
0.2788103869226368,PBYI,8,0,0,0,0
0.23463377042488265,IRWD,8,0,0,1,0
0.4016069315512374,CSGS,2,0,1,1,1
1.11825482132111,CNSL,6,0,0,1,0
0.22669700098690976,SUPN,8,0,1,1,1
0.20098822335513408,COLL,8,0,0,0,1
0.009209601737787714,DRNA,8,0,0,1,1
0.14679150438517177,BKCC,4,0,0,0,-1
0.022775743852545216,PACB,8,0,0,0,0
0.8980218395903774,AVDL,8,0,0,0,1
0.5916570298035893,JNCE,8,0,0,0,1
0.28080962562389494,MKSI,2,0,1,1,1
0.10988767277495441,CDK,2,0,1,1,1
0.29051780464874283,LNTH,8,0,0,0,1
0.2824289988190545,PACW,4,0,1,1,0
0.13296818576549502,OLLI,7,0,1,1,0
0.20492018872288906,LOCO,0,0,0,1,1
0.7316403589077753,RUSHA,0,0,1,1,1
